Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur,Preco Previsto,Data_Pedido,Data_Resposta,rating
Outra,Wrangler Sport,2014,114263,Gasoline,285.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,20020,19624,2022-03-31,2022-04-03,4.0
Outra,Highlander XLE,2015,110361,Gasoline,270.0,3.5,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,23660,22411,2022-08-03,2022-08-06,8.4
Outra,Camry Hybrid XLE,2018,112076,Hybrid,208.0,2.5,4.0,CVT,white,Black,At least 1 accident or damage reported,Yes,21835,20960,2022-08-04,2022-08-05,7.8
Outra,Outback Touring XT,2021,53913,Gasoline,260.0,2.4,4.0,CVT,Outra,Outra,None reported,Yes,30940,31090,2022-01-14,2022-01-15,7.5
Outra,GX 460 Base,2018,120701,Gasoline,301.0,4.6,8.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,34666,31699,2023-08-20,2023-08-24,1.3
Ford,Escape XLT,2007,214526,Gasoline,153.0,2.3,4.0,Automatic,Outra,Outra,None reported,Yes,2730,3970,2022-02-13,2022-02-17,9.9
Outra,Murano SL,2007,193121,Gasoline,240.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,6142,7212,2022-09-08,2022-09-12,2.8
Outra,Cooper Base,2003,166931,Gasoline,115.0,1.6,4.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,5455,5931,2023-08-20,2023-08-24,8.7
Ford,E350 Super Duty Base,2006,254276,Gasoline,305.0,6.8,10.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,7735,8073,2023-03-05,2023-03-08,4.4
Outra,Mazda6 i Touring,2016,192317,Gasoline,184.0,2.5,4.0,DCT,Outra,Black,None reported,Yes,13650,13631,2023-07-07,2023-07-09,6.6
Outra,Camry Hybrid Base,2007,85696,Hybrid,147.0,2.4,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,8418,9421,2023-03-14,2023-03-17,5.9
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,108291,Gasoline,241.0,2.0,4.0,Automatic,white,Outra,None reported,Yes,18646,18788,2022-05-17,2022-05-18,8.1
Outra,Charger SE,2017,101791,Gasoline,292.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,16972,19756,2022-03-05,2022-03-09,5.5
Outra,GX 460 Premium,2023,4076,Gasoline,301.0,4.6,8.0,Automatic,Black,Black,None reported,Yes,59059,54844,2022-05-21,2022-05-24,5.7
Ford,Mustang Shelby GT500,2007,11822,Gasoline,500.0,5.4,8.0,Manual,Outra,Black,None reported,Yes,37309,42807,2023-10-09,2023-10-12,2.8
Outra,MKT Base,2016,225630,Gasoline,303.0,3.7,6.0,Automatic,Black,Black,None reported,Yes,9555,11836,2023-11-20,2023-11-24,4.4
Outra,Passat 2.0T SE,2020,79502,Gasoline,174.0,2.0,4.0,Automatic,Black,Outra,None reported,Yes,19019,20727,2022-08-11,2022-08-14,8.3
Outra,QX60 Base,2014,248236,Gasoline,265.0,3.5,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,11375,12170,2022-06-25,2022-06-26,3.5
Outra,1500 Big Horn,2021,67271,Diesel,260.0,3.0,6.0,Automatic,white,Black,None reported,Yes,40859,39993,2023-05-19,2023-05-22,6.7
Outra,Santa Fe SE,2007,233355,Gasoline,242.0,3.3,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,3822,5413,2022-05-23,2022-05-26,1.1
Outra,ILX Technology Plus Package,2016,98170,Gasoline,201.0,2.4,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110,17408,2022-06-05,2022-06-08,7.3
Mercedes-Benz,E-Class E 350,2014,56327,Gasoline,302.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,27298,26733,2023-02-01,2023-02-02,6.2
Outra,1500 Limited,2021,35406,Gasoline,395.0,5.7,8.0,Automatic,Black,Black,None reported,Yes,49868,49689,2022-06-28,2022-07-02,9.0
Outra,F-TYPE S British Design Edition,2017,54959,Gasoline,380.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,41859,39044,2023-07-29,2023-08-01,7.7
Outra,Highlander XLE,2018,119091,Gasoline,295.0,3.5,6.0,Automatic,white,Black,None reported,Yes,25434,27663,2023-12-23,2023-12-26,4.3
Outra,911 Turbo Cabriolet,2008,82077,Gasoline,480.0,3.6,6.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,63245,59179,2022-11-15,2022-11-18,1.4
Ford,Transit Connect XLT,2016,179764,E85 Flex Fuel,169.0,2.5,4.0,Automatic,white,beige,None reported,Yes,14105,13981,2023-12-08,2023-12-09,1.0
Outra,Quattroporte S,2019,37385,Gasoline,424.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,40949,46959,2023-09-25,2023-09-28,7.1
Outra,Rover Defender S,2023,24462,Gasoline,296.0,2.0,4.0,Automatic,white,Black,None reported,Yes,57329,56457,2023-04-02,2023-04-04,9.1
Outra,Tundra SR5,2020,42326,Gasoline,381.0,5.7,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,42041,45189,2022-11-17,2022-11-21,5.2
Outra,Grand Cherokee Limited,2020,76444,Gasoline,293.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,28210,31065,2023-05-06,2023-05-08,8.5
BMW,640 Gran Coupe i xDrive,2015,157716,Gasoline,315.0,3.0,6.0,DCT,Black,beige,None reported,Yes,20475,20822,2023-12-06,2023-12-10,7.1
Outra,Accord EX-L 2.0T,2019,64485,Gasoline,252.0,2.0,4.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,25025,25207,2022-01-22,2022-01-23,8.8
Outra,Rio S,2021,108930,Gasoline,120.0,1.6,4.0,Automatic,Outra,Black,None reported,Yes,14287,15732,2023-06-09,2023-06-11,5.2
