Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur,Preco Previsto
Outra,Wrangler Sport,2014,114263,Gasoline,285.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,20020,19624.46
Outra,Highlander XLE,2015,110361,Gasoline,270.0,3.5,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,23660,22411.66
Outra,Camry Hybrid XLE,2018,112076,Hybrid,208.0,2.5,4.0,CVT,white,Black,At least 1 accident or damage reported,Yes,21835,20960.42
Outra,Outback Touring XT,2021,53913,Gasoline,260.0,2.4,4.0,CVT,Outra,Outra,None reported,Yes,30940,31090.11
Outra,GX 460 Base,2018,120701,Gasoline,301.0,4.6,8.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,34666,31699.17
Ford,Escape XLT,2007,214526,Gasoline,153.0,2.3,4.0,Automatic,Outra,Outra,None reported,Yes,2730,3970.32
Outra,Murano SL,2007,193121,Gasoline,240.0,3.5,6.0,Automatic,Outra,Black,None reported,Yes,6142,7212.8
Outra,Cooper Base,2003,166931,Gasoline,115.0,1.6,4.0,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,5455,5931.91
Ford,E350 Super Duty Base,2006,254276,Gasoline,305.0,6.8,10.0,Automatic,white,Outra,At least 1 accident or damage reported,Yes,7735,8073.97
Outra,Mazda6 i Touring,2016,192317,Gasoline,184.0,2.5,4.0,DCT,Outra,Black,None reported,Yes,13650,13631.69
Outra,Camry Hybrid Base,2007,85696,Hybrid,147.0,2.4,4.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,8418,9421.4
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,108291,Gasoline,241.0,2.0,4.0,Automatic,white,Outra,None reported,Yes,18646,18788.56
Outra,Charger SE,2017,101791,Gasoline,292.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,16972,19756.08
Outra,GX 460 Premium,2023,4076,Gasoline,301.0,4.6,8.0,Automatic,Black,Black,None reported,Yes,59059,54844.72
Ford,Mustang Shelby GT500,2007,11822,Gasoline,500.0,5.4,8.0,Manual,Outra,Black,None reported,Yes,37309,42807.95
Outra,MKT Base,2016,225630,Gasoline,303.0,3.7,6.0,Automatic,Black,Black,None reported,Yes,9555,11836.08
Outra,Passat 2.0T SE,2020,79502,Gasoline,174.0,2.0,4.0,Automatic,Black,Outra,None reported,Yes,19019,20727.4
Outra,QX60 Base,2014,248236,Gasoline,265.0,3.5,6.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,11375,12170.91
Outra,1500 Big Horn,2021,67271,Diesel,260.0,3.0,6.0,Automatic,white,Black,None reported,Yes,40859,39993.19
Outra,Santa Fe SE,2007,233355,Gasoline,242.0,3.3,6.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,3822,5413.25
Outra,ILX Technology Plus Package,2016,98170,Gasoline,201.0,2.4,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110,17408.2
Mercedes-Benz,E-Class E 350,2014,56327,Gasoline,302.0,3.5,6.0,Automatic,Outra,beige,None reported,Yes,27298,26733.51
Outra,1500 Limited,2021,35406,Gasoline,395.0,5.7,8.0,Automatic,Black,Black,None reported,Yes,49868,49689.9
Outra,F-TYPE S British Design Edition,2017,54959,Gasoline,380.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,41859,39044.92
Outra,Highlander XLE,2018,119091,Gasoline,295.0,3.5,6.0,Automatic,white,Black,None reported,Yes,25434,27663.41
Outra,911 Turbo Cabriolet,2008,82077,Gasoline,480.0,3.6,6.0,DCT,Outra,Black,At least 1 accident or damage reported,Yes,63245,59179.42
Ford,Transit Connect XLT,2016,179764,E85 Flex Fuel,169.0,2.5,4.0,Automatic,white,beige,None reported,Yes,14105,13981.73
Outra,Quattroporte S,2019,37385,Gasoline,424.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,40949,46959.27
Outra,Rover Defender S,2023,24462,Gasoline,296.0,2.0,4.0,Automatic,white,Black,None reported,Yes,57329,56457.12
Outra,Tundra SR5,2020,42326,Gasoline,381.0,5.7,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,42041,45189.98
Outra,Grand Cherokee Limited,2020,76444,Gasoline,293.0,3.6,6.0,Automatic,Outra,Black,None reported,Yes,28210,31065.55
BMW,640 Gran Coupe i xDrive,2015,157716,Gasoline,315.0,3.0,6.0,DCT,Black,beige,None reported,Yes,20475,20822.9
Outra,Accord EX-L 2.0T,2019,64485,Gasoline,252.0,2.0,4.0,Automatic,white,Black,At least 1 accident or damage reported,Yes,25025,25207.82
Outra,Rio S,2021,108930,Gasoline,120.0,1.6,4.0,Automatic,Outra,Black,None reported,Yes,14287,15732.73
Ford,F-250 King Ranch,2015,157233,Diesel,440.0,6.7,8.0,Automatic,Black,Outra,None reported,Yes,36354,36677.17
BMW,M2 Competition,2020,40255,Gasoline,405.0,3.0,6.0,Automatic,Black,Black,None reported,Yes,50050,51429.83
BMW,328 i xDrive,2016,104607,Gasoline,240.0,2.0,4.0,DCT,Outra,Black,None reported,Yes,17745,17835.62
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,157716,Gasoline,248.0,3.5,6.0,Automatic,white,beige,At least 1 accident or damage reported,Yes,14105,13543.41
Outra,Yukon SLT,2018,137599,Gasoline,355.0,5.3,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,32668,33645.04
BMW,330e iPerformance,2018,72828,Plug-In Hybrid,247.0,2.0,4.0,DCT,Black,Black,None reported,Yes,22745,23147.37
Ford,Explorer Limited,2022,28164,Hybrid,318.0,3.3,6.0,Automatic,white,Black,None reported,Yes,41860,45709.78
Outra,Pacifica Launch Edition,2020,35727,Gasoline,287.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,33488,34736.92
Outra,Enclave Leather,2015,110486,Gasoline,288.0,3.6,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,17244,17966.19
Outra,Wrangler Sport,2012,92114,Gasoline,285.0,3.6,6.0,Automatic,Black,Black,None reported,Yes,20475,22988.94
Outra,A4 2.0T Premium Plus,2015,117482,E85 Flex Fuel,220.0,2.0,4.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,15652,15216.76
Outra,Impreza WRX Base,2013,181856,Gasoline,265.0,2.5,4.0,Manual,Outra,Black,At least 1 accident or damage reported,Yes,14560,14132.15
Outra,Touareg TDI Lux,2015,24409,Diesel,240.0,3.0,6.0,Automatic,Outra,Black,None reported,Yes,31850,33091.51
Outra,Escalade Platinum,2020,78235,Gasoline,420.0,6.2,8.0,Automatic,Black,Black,At least 1 accident or damage reported,Yes,55965,57149.08
Outra,QX80 SENSORY,2022,42680,Gasoline,400.0,5.6,8.0,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,58240,57204.33
BMW,Z4 3.0si,2008,95365,Gasoline,255.0,3.0,6.0,Manual,Outra,Black,None reported,Yes,16562,18068.81
Ford,F-250 XLT Super Duty,2001,103495,Gasoline,260.0,5.4,8.0,Automatic,white,Outra,None reported,Yes,6825,8905.49
BMW,X5 xDrive35i,2017,169142,Gasoline,300.0,3.0,6.0,Automatic,Outra,Black,At least 1 accident or damage reported,Yes,21203,21256.19
