Brand_Mod,model,model_year,KM,fuel,HP,Litros,Cilindros,transmission_mod,ext_col_mod,int_col_mod,accident_mod,clean_title_mod,price_eur
Outra,Wrangler Sport,2014,114263,Gasoline,285,3.6,6,Automatic,Outra,Black,None reported,Yes,20020
Outra,Highlander XLE,2015,110361,Gasoline,270,3.5,6,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,23660
Outra,Camry Hybrid XLE,2018,112076,Hybrid,208,2.5,4,CVT,white,Black,At least 1 accident or damage reported,Yes,21835
Outra,Outback Touring XT,2021,53913,Gasoline,260,2.4,4,CVT,Outra,Outra,None reported,Yes,30940
Outra,GX 460 Base,2018,120701,Gasoline,301,4.6,8,Automatic,white,beige,At least 1 accident or damage reported,Yes,34666
Ford,Escape XLT,2007,214526,Gasoline,153,2.3,4,Automatic,Outra,Outra,None reported,Yes,2730
Outra,Murano SL,2007,193121,Gasoline,240,3.5,6,Automatic,Outra,Black,None reported,Yes,6142
Outra,LC 500 Base,2022,3333,Gasoline,,5.0,8,Automatic,Outra,Outra,None reported,No,90954
Outra,Cooper Base,2003,166931,Gasoline,115,1.6,4,Manual,Outra,Outra,At least 1 accident or damage reported,Yes,5455
Ford,E350 Super Duty Base,2006,254276,Gasoline,305,6.8,10,Automatic,white,Outra,At least 1 accident or damage reported,Yes,7735
Outra,Mazda6 i Touring,2016,192317,Gasoline,184,2.5,4,DCT,Outra,Black,None reported,Yes,13650
Mercedes-Benz,E-Class AMG E 53,2020,37086,Hybrid,,,,Automatic,Outra,Outra,None reported,No,66064
Outra,Camry Hybrid Base,2007,85696,Hybrid,147,2.4,4,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,8418
Mercedes-Benz,C-Class C 300 4MATIC Sport,2016,108291,Gasoline,241,2.0,4,Automatic,white,Outra,None reported,Yes,18646
Outra,Charger SE,2017,101791,Gasoline,292,3.6,6,Automatic,Outra,Black,None reported,Yes,16972
Outra,Model S 75D,2016,164572,Outro,518,,,Automatic,white,Black,None reported,Yes,28483
Outra,GX 460 Premium,2023,4076,Gasoline,301,4.6,8,Automatic,Black,Black,None reported,Yes,59059
Outra,RS 7 4.0T quattro,2023,5082,Gasoline,,4.0,8,Automatic,Outra,Outra,None reported,No,117299
Ford,Mustang Shelby GT500,2007,11822,Gasoline,500,5.4,8,Manual,Outra,Black,None reported,Yes,37309
Outra,MDX Technology,2022,25581,Gasoline,,3.5,6,Automatic,Outra,Outra,None reported,No,43634
Outra,MKT Base,2016,225630,Gasoline,303,3.7,6,Automatic,Black,Black,None reported,Yes,9555
Outra,Passat 2.0T SE,2020,79502,Gasoline,174,2.0,4,Automatic,Black,Outra,None reported,Yes,19019
Outra,QX60 Base,2014,248236,Gasoline,265,3.5,6,Automatic,Black,Black,At least 1 accident or damage reported,Yes,11375
Outra,1500 Big Horn,2021,67271,Diesel,260,3.0,6,Automatic,white,Black,None reported,Yes,40859
Outra,Santa Fe SE,2007,233355,Gasoline,242,3.3,6,Automatic,Outra,Outra,At least 1 accident or damage reported,Yes,3822
Outra,ILX Technology Plus Package,2016,98170,Gasoline,201,2.4,4,Automatic,Black,Black,At least 1 accident or damage reported,Yes,19110
Outra,Phantom,2018,12207,Gasoline,,6.8,12,Automatic,Outra,Outra,None reported,Yes,545090
Mercedes-Benz,E-Class E 350,2014,56327,Gasoline,302,3.5,6,Automatic,Outra,beige,None reported,Yes,27298
Outra,1500 Limited,2021,35406,Gasoline,395,5.7,8,Automatic,Black,Black,None reported,Yes,49868
Outra,F-TYPE S British Design Edition,2017,54959,Gasoline,380,3.0,6,Automatic,Black,Black,None reported,Yes,41859
Outra,Highlander XLE,2018,119091,Gasoline,295,3.5,6,Automatic,white,Black,None reported,Yes,25434
