model_year,KM,HP,Litros,Cilindros,price_eur
2014,114263,285.0,3.6,6.0,20020
2015,110361,270.0,3.5,6.0,23660
2018,112076,208.0,2.5,4.0,21835
2021,53913,260.0,2.4,4.0,30940
2018,120701,301.0,4.6,8.0,34666
2007,214526,153.0,2.3,4.0,2730
2007,193121,240.0,3.5,6.0,6142
2003,166931,115.0,1.6,4.0,5455
2006,254276,305.0,6.8,10.0,7735
2016,192317,184.0,2.5,4.0,13650
2007,85696,147.0,2.4,4.0,8418
2016,108291,241.0,2.0,4.0,18646
2017,101791,292.0,3.6,6.0,16972
2023,4076,301.0,4.6,8.0,59059
2007,11822,500.0,5.4,8.0,37309
2016,225630,303.0,3.7,6.0,9555
2020,79502,174.0,2.0,4.0,19019
2014,248236,265.0,3.5,6.0,11375
2021,67271,260.0,3.0,6.0,40859
2007,233355,242.0,3.3,6.0,3822
2016,98170,201.0,2.4,4.0,19110
2014,56327,302.0,3.5,6.0,27298
2021,35406,395.0,5.7,8.0,49868
2017,54959,380.0,3.0,6.0,41859
2018,119091,295.0,3.5,6.0,25434
2008,82077,480.0,3.6,6.0,63245
2016,179764,169.0,2.5,4.0,14105
2019,37385,424.0,3.0,6.0,40949
2023,24462,296.0,2.0,4.0,57329
2020,42326,381.0,5.7,8.0,42041
2020,76444,293.0,3.6,6.0,28210
2015,157716,315.0,3.0,6.0,20475
2019,64485,252.0,2.0,4.0,25025
2021,108930,120.0,1.6,4.0,14287
2015,157233,440.0,6.7,8.0,36354
2020,40255,405.0,3.0,6.0,50050
2016,104607,240.0,2.0,4.0,17745
2013,157716,248.0,3.5,6.0,14105
2018,137599,355.0,5.3,8.0,32668
2018,72828,247.0,2.0,4.0,22745
2022,28164,318.0,3.3,6.0,41860
2020,35727,287.0,3.6,6.0,33488
2015,110486,288.0,3.6,6.0,17244
2012,92114,285.0,3.6,6.0,20475
2015,117482,220.0,2.0,4.0,15652
2013,181856,265.0,2.5,4.0,14560
2015,24409,240.0,3.0,6.0,31850
2020,78235,420.0,6.2,8.0,55965
2022,42680,400.0,5.6,8.0,58240
2008,95365,255.0,3.0,6.0,16562
2001,103495,260.0,5.4,8.0,6825
2017,169142,300.0,3.0,6.0,21203
2012,128748,261.0,4.0,6.0,13468
2016,135862,360.0,6.0,8.0,33488
2011,149669,335.0,4.7,8.0,10829
2017,39075,228.0,2.0,4.0,26390
2010,289199,172.0,2.4,4.0,4095
2017,140818,200.0,2.0,4.0,18200
2022,22531,276.0,3.6,6.0,42679
2012,62311,333.0,3.0,6.0,28210
2012,267151,290.0,3.6,6.0,11830
2022,29284,400.0,3.0,6.0,56420
2014,144138,302.0,3.5,6.0,17285
2017,172811,300.0,3.0,6.0,15925
2007,100278,177.0,2.4,4.0,11739
2022,32589,375.0,2.9,6.0,62335
2008,239792,173.0,2.7,6.0,3504
2019,52304,385.0,3.0,6.0,39585
2022,40073,310.0,2.7,4.0,45409
2022,42648,440.0,3.5,6.0,59969
2006,197949,400.0,6.0,8.0,13650
